Iteration,Importance,Category,ID,Name,Description / User story,Git Branch,Owns pages
1,Must,Auth,AUTH-01,Login,"As a User (agent or admin role), I want to log in with my email and password, so that I can access my dashboard.",feat/AUTH-01-login,Dashboard (shell)
2,Should,Auth,AUTH-02,Password reset,"As a User, I want to reset my forgotten password, so that I don't lose access to my account.",feat/AUTH-02-password-reset
1,Must,Auth,AUTH-03,Role-based access control,"As an Admin, I want certain pages and actions restricted based on my User role, so that agents can't perform admin-only operations.",feat/AUTH-03-role-based-access,Dashboard (role-aware)
1,Must,Auth,AUTH-04,Enable or disable a user's login,"As an Admin, I want to enable or disable a user's login access independently of their public profile, so that I can revoke system access without deleting or unpublishing their profile. Includes a safety rule: an Admin cannot disable their own account or the last remaining active Admin.",feat/AUTH-04-enable-disable-login,User management
1,Must,Property,PROP-01,Search and filter properties,"As a Visitor, I want to search and filter listings by type, area, status, price, and bedrooms, so that I can find properties matching my needs.",feat/PROP-01-search-filter-properties,Property listing / browse
1,Must,Property,PROP-02,Property detail page,"As a Visitor, I want to see full details, photos, and location of a property, so that I can decide whether to inquire.",feat/PROP-02-property-detail-page
1,Must,Property,PROP-03,Create and edit property listing,"As an Agent, I want to create and edit my property listings, including photos and categorization, so that my portfolio stays accurate and searchable.",feat/PROP-03-create-edit-listing
2,Should,Property,PROP-04,Property approval workflow,"As an Admin, I want to review and approve a property before it goes live, so that listing quality is controlled.",feat/PROP-04-property-approval
2,Should,Property,PROP-05,Mark as sold or featured,"As an Agent, I want to mark a property as sold, and as an Admin, I want to feature a property, so that listing status and visibility stay current.",feat/PROP-05-sold-featured-status
3,Could,Property,PROP-06,Dual currency display,"As a Visitor, I want to see prices in USD and/or MXN, so that I understand the cost in my preferred currency.",feat/PROP-06-dual-currency
1,Must,Lead,LEAD-01,Submit property inquiry,"As a Visitor, I want to send a message about a specific property, including an explicit GDPR consent checkbox for data processing, so that an agent can contact me and my data is collected lawfully.",feat/LEAD-01-property-inquiry
1,Must,Lead,LEAD-02,Submit general contact request,"As a Visitor, I want to share my general interest and budget, including an explicit GDPR consent checkbox for data processing, so that an agent can reach out with matching properties and my data is collected lawfully.",feat/LEAD-02-general-contact
1,Must,Lead,LEAD-03,View and update assigned leads,"As an Agent, I want to see the leads assigned to me and update their status (contacted, qualified, closed, lost), so that I can track my pipeline.",feat/LEAD-03-manage-assigned-leads
2,Should,Lead,LEAD-04,Reassign a lead,"As an Agent or Admin, I want to reassign a lead to another agent, so that leads aren't lost if an agent is unavailable.",feat/LEAD-04-reassign-lead
2,Should,Lead,LEAD-05,Admin oversight of all leads,"As an Admin, I want to see leads across all agents, so that I can monitor overall pipeline performance.",feat/LEAD-05-all-leads-oversight
2,Should,Open House,OH-01,Manage open houses,"As an Agent, I want to create, publish, or cancel open house events for my properties, so that I can organize visits.",feat/OH-01-manage-open-houses
2,Should,Open House,OH-02,Browse open houses,"As a Visitor, I want to browse upcoming open house events, so that I can plan a visit.",feat/OH-02-browse-open-houses
1,Must,Agent,AGT-01,Create agent account,"As an Admin, I want to create a new agent account, which atomically creates both the login and the linked public profile, so that a new agent can log in and immediately have a public presence.",feat/AGT-01-create-agent-account
2,Should,Agent,AGT-02,Agent directory and public profile,"As a Visitor, I want to view an agent's bio, photo, and current listings, so that I can decide who to contact.",feat/AGT-02-agent-directory
2,Should,Agent,AGT-03,Agent self-profile management,"As an Agent, I want to update my own bio, phone, and photo, so that my public profile stays current.",feat/AGT-03-self-profile-management
3,Could,Agent,AGT-05,Create agent profile without login,"As an Admin, I want to create a public Agent profile with no linked login, so that a departed agent's listing history stays attributed, or someone can be listed publicly without needing system access.",feat/AGT-05-profile-without-login
2,Should,Category,CAT-01,Manage categories,"As an Admin, I want to create, edit, and reorder categories (type, area, status, feature, label), so that search filters stay relevant.",feat/CAT-01-manage-categories
1,Must,Content,CMS-01,Static informational pages,"As a Visitor, I want to learn about the agency and read a legal notice and privacy policy explaining how my personal data is used (GDPR), so that I can trust the site before submitting any information.",feat/CMS-01-static-pages,Home/landing; legal notice; privacy policy
1,Must,Technical,TECH-01,Automated tests,"As a Developer, I want to write automated unit and integration tests (using Pest or PHPUnit) covering authentication and lead creation, so that I can guarantee non-regression as the project evolves.",chore/TECH-01-automated-tests
1,Must,Technical,TECH-02,Deployment,"As a Developer, I want to manually deploy Iteration 1 to a web server and document the deployment steps, so that the application is accessible outside my local environment and the process is reproducible.",chore/TECH-02-deployment
3,Could,Content,CMS-02,Discover San Miguel de Allende,"As a Visitor, I want to learn about the city and lifestyle, so that I feel more confident investing or relocating there.",feat/CMS-02-discover-page
3,Could,Localization,LOC-01,EN/ES language toggle,"As a Visitor, I want to switch the site language between English and Spanish, so that I can read content in my preferred language.",feat/LOC-01-language-toggle
